"Number","CurrentPath","ArchiveTarget","TargetParentDirectory","TargetParentExists","CurrentPathExists","ArchiveTargetExists","RiskBucket","SourceRefFileCount","SourceRefFiles","ReplacementRule","RewriteHitCount","AgentBoardStaleRisk","AgentBoardSourceFiles","HumanNavigationRisk","HumanNavigationSourceFiles","DocsSourceFiles","ScriptsRefs","TestsRefs","OverwriteRisk","Blockers","CandidateAction","PostMoveValidationCommand"
"511","docs/244_v6_8_plugin_dashboard_plan.md","docs/archive/numbered_legacy/244_v6_8_plugin_dashboard_plan.md","docs\archive\numbered_legacy","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/244_v6_8_plugin_dashboard_plan.md -> docs/archive/numbered_legacy/244_v6_8_plugin_dashboard_plan.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"512","docs/v10_001_closeout_and_project_route_reset_gate.md","docs/archive/phases/v10/v10_001_closeout_and_project_route_reset_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_001_closeout_and_project_route_reset_gate.md -> docs/archive/phases/v10/v10_001_closeout_and_project_route_reset_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"513","docs/v10_002_next_project_route_selection_gate.md","docs/archive/phases/v10/v10_002_next_project_route_selection_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_002_next_project_route_selection_gate.md -> docs/archive/phases/v10/v10_002_next_project_route_selection_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"514","docs/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs/archive/phases/v10/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_003_third_product_prompt_workflow_expansion_route_gate.md -> docs/archive/phases/v10/v10_003_third_product_prompt_workflow_expansion_route_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"515","docs/v10_004_third_product_brief_gate.md","docs/archive/phases/v10/v10_004_third_product_brief_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_004_third_product_brief_gate.md -> docs/archive/phases/v10/v10_004_third_product_brief_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"516","docs/v10_005_third_product_prompt_package_draft_gate.md","docs/archive/phases/v10/v10_005_third_product_prompt_package_draft_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_005_third_product_prompt_package_draft_gate.md -> docs/archive/phases/v10/v10_005_third_product_prompt_package_draft_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"517","docs/v10_006_third_product_prompt_package_static_review_gate.md","docs/archive/phases/v10/v10_006_third_product_prompt_package_static_review_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_006_third_product_prompt_package_static_review_gate.md -> docs/archive/phases/v10/v10_006_third_product_prompt_package_static_review_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"518","docs/v10_007_third_product_A5_authorization_decision_gate.md","docs/archive/phases/v10/v10_007_third_product_A5_authorization_decision_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_007_third_product_A5_authorization_decision_gate.md -> docs/archive/phases/v10/v10_007_third_product_A5_authorization_decision_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"519","docs/v10_008_remote_sync_and_status_surface_correction_gate.md","docs/archive/phases/v10/v10_008_remote_sync_and_status_surface_correction_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_008_remote_sync_and_status_surface_correction_gate.md -> docs/archive/phases/v10/v10_008_remote_sync_and_status_surface_correction_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"520","docs/v10_009_third_product_minimal_generation_authorization_draft_gate.md","docs/archive/phases/v10/v10_009_third_product_minimal_generation_authorization_draft_gate.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","docs/v10_009_third_product_minimal_generation_authorization_draft_gate.md -> docs/archive/phases/v10/v10_009_third_product_minimal_generation_authorization_draft_gate.md","4","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"521","docs/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","docs/archive/phases/v10/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","docs/v10_010_third_product_minimal_generation_execution_confirmation_gate.md -> docs/archive/phases/v10/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","4","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"522","docs/v10_012_human_review_of_third_product_first_real_output.md","docs/archive/phases/v10/v10_012_human_review_of_third_product_first_real_output.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","8",".agent_board/CHECKPOINT.md; docs/prompt_artifact_schema_inventory.md; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md; docs/v10_017_third_product_route_closeout_gate.md; docs/v10_product_loop_final_closeout.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","docs/v10_012_human_review_of_third_product_first_real_output.md -> docs/archive/phases/v10/v10_012_human_review_of_third_product_first_real_output.md","10","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_artifact_schema_inventory.md; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md; docs/v10_017_third_product_route_closeout_gate.md; docs/v10_product_loop_final_closeout.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"523","docs/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","docs/archive/phases/v10/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md","docs/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md -> docs/archive/phases/v10/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","3","True",".agent_board/CHECKPOINT.md","False","","docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"524","docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md","docs/archive/phases/v10/v10_014_third_product_accepted_candidate_evidence_package_gate.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md","docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md -> docs/archive/phases/v10/v10_014_third_product_accepted_candidate_evidence_package_gate.md","3","True",".agent_board/CHECKPOINT.md","False","","docs/v10_third_product_route_closeout_premium_serum_bottle.md; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"525","docs/v10_015_third_product_route_closeout_or_revision_decision_gate.md","docs/archive/phases/v10/v10_015_third_product_route_closeout_or_revision_decision_gate.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","2",".agent_board/CHECKPOINT.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md","docs/v10_015_third_product_route_closeout_or_revision_decision_gate.md -> docs/archive/phases/v10/v10_015_third_product_route_closeout_or_revision_decision_gate.md","2","True",".agent_board/CHECKPOINT.md","False","","docs/v10_third_product_route_closeout_premium_serum_bottle.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"526","docs/v10_017_third_product_route_closeout_gate.md","docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_017_third_product_route_closeout_gate.md -> docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"527","docs/v10_018_v10_final_closeout.md","docs/archive/phases/v10/v10_018_v10_final_closeout.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","2",".agent_board/CHECKPOINT.md; docs/v10_product_loop_final_closeout.md","docs/v10_018_v10_final_closeout.md -> docs/archive/phases/v10/v10_018_v10_final_closeout.md","2","True",".agent_board/CHECKPOINT.md","False","","docs/v10_product_loop_final_closeout.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"528","docs/v10_product_loop_final_closeout.md","docs/archive/phases/v10/v10_product_loop_final_closeout.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","docs/v10_product_loop_final_closeout.md -> docs/archive/phases/v10/v10_product_loop_final_closeout.md","3","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"529","docs/v10_project_route_reset_after_v9_delivery_readiness.md","docs/archive/phases/v10/v10_project_route_reset_after_v9_delivery_readiness.md","docs\archive\phases\v10","True","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v10_project_route_reset_after_v9_delivery_readiness.md -> docs/archive/phases/v10/v10_project_route_reset_after_v9_delivery_readiness.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"530","docs/v10_third_product_route_closeout_premium_serum_bottle.md","docs/archive/phases/v10/v10_third_product_route_closeout_premium_serum_bottle.md","docs\archive\phases\v10","True","True","False","agent_board_plus_docs","6",".agent_board/CHECKPOINT.md; docs/prompt_artifact_schema_inventory.md; docs/v10_017_third_product_route_closeout_gate.md; docs/v10_product_loop_final_closeout.md; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","docs/v10_third_product_route_closeout_premium_serum_bottle.md -> docs/archive/phases/v10/v10_third_product_route_closeout_premium_serum_bottle.md","6","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_artifact_schema_inventory.md; docs/v10_017_third_product_route_closeout_gate.md; docs/v10_product_loop_final_closeout.md; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"531","docs/v11_001_route_selection_gate.md","docs/archive/phases/v11/v11_001_route_selection_gate.md","docs\archive\phases\v11","False","True","False","agent_board_only","1",".agent_board/CHECKPOINT.md","docs/v11_001_route_selection_gate.md -> docs/archive/phases/v11/v11_001_route_selection_gate.md","1","True",".agent_board/CHECKPOINT.md","False","","","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"532","docs/v11_002_prompt_schema_hardening_route_activation_gate.md","docs/archive/phases/v11/v11_002_prompt_schema_hardening_route_activation_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_artifact_schema_inventory.md; docs/prompt_schema_hardening_route_closeout.md","docs/v11_002_prompt_schema_hardening_route_activation_gate.md -> docs/archive/phases/v11/v11_002_prompt_schema_hardening_route_activation_gate.md","3","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_artifact_schema_inventory.md; docs/prompt_schema_hardening_route_closeout.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"533","docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md","docs/archive/phases/v11/v11_003_existing_prompt_artifact_schema_inventory_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md","docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md -> docs/archive/phases/v11/v11_003_existing_prompt_artifact_schema_inventory_gate.md","3","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"534","docs/v11_004_prompt_package_schema_draft_gate.md","docs/archive/phases/v11/v11_004_prompt_package_schema_draft_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_004_prompt_package_schema_draft_gate.md","docs/v11_004_prompt_package_schema_draft_gate.md -> docs/archive/phases/v11/v11_004_prompt_package_schema_draft_gate.md","4","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_004_prompt_package_schema_draft_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"535","docs/v11_005_prompt_package_schema_static_review_gate.md","docs/archive/phases/v11/v11_005_prompt_package_schema_static_review_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_005_prompt_package_schema_static_review_gate.md","docs/v11_005_prompt_package_schema_static_review_gate.md -> docs/archive/phases/v11/v11_005_prompt_package_schema_static_review_gate.md","5","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_005_prompt_package_schema_static_review_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"536","docs/v11_006_product_brief_schema_draft_gate.md","docs/archive/phases/v11/v11_006_product_brief_schema_draft_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_006_product_brief_schema_draft_gate.md","docs/v11_006_product_brief_schema_draft_gate.md -> docs/archive/phases/v11/v11_006_product_brief_schema_draft_gate.md","3","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_006_product_brief_schema_draft_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"537","docs/v11_007_product_brief_schema_static_review_gate.md","docs/archive/phases/v11/v11_007_product_brief_schema_static_review_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_007_product_brief_schema_static_review_gate.md","docs/v11_007_product_brief_schema_static_review_gate.md -> docs/archive/phases/v11/v11_007_product_brief_schema_static_review_gate.md","5","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_007_product_brief_schema_static_review_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"538","docs/v11_008_static_review_schema_draft_gate.md","docs/archive/phases/v11/v11_008_static_review_schema_draft_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_008_static_review_schema_draft_gate.md","docs/v11_008_static_review_schema_draft_gate.md -> docs/archive/phases/v11/v11_008_static_review_schema_draft_gate.md","3","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_008_static_review_schema_draft_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"539","docs/v11_009_static_review_schema_static_review_gate.md","docs/archive/phases/v11/v11_009_static_review_schema_static_review_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_009_static_review_schema_static_review_gate.md","docs/v11_009_static_review_schema_static_review_gate.md -> docs/archive/phases/v11/v11_009_static_review_schema_static_review_gate.md","5","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_009_static_review_schema_static_review_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"540","docs/v11_010_A5_authorization_schema_draft_gate.md","docs/archive/phases/v11/v11_010_A5_authorization_schema_draft_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_010_A5_authorization_schema_draft_gate.md","docs/v11_010_A5_authorization_schema_draft_gate.md -> docs/archive/phases/v11/v11_010_A5_authorization_schema_draft_gate.md","3","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_010_A5_authorization_schema_draft_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"541","docs/v11_011_A5_authorization_schema_static_review_gate.md","docs/archive/phases/v11/v11_011_A5_authorization_schema_static_review_gate.md","docs\archive\phases\v11","False","True","False","agent_board_plus_docs","3",".agent_board/CHECKPOINT.md; docs/prompt_schema_hardening_route_closeout.md; docs/v11_011_A5_authorization_schema_static_review_gate.md","docs/v11_011_A5_authorization_schema_static_review_gate.md -> docs/archive/phases/v11/v11_011_A5_authorization_schema_static_review_gate.md","5","True",".agent_board/CHECKPOINT.md","False","","docs/prompt_schema_hardening_route_closeout.md; docs/v11_011_A5_authorization_schema_static_review_gate.md","","","False","","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
