"Number","CurrentPath","ArchiveTarget","TargetParentDirectory","TargetParentExists","CurrentPathExists","ArchiveTargetExists","RiskBucket","SourceRefFileCount","SourceRefFiles","ReplacementRule","RewriteHitCount","AgentBoardStaleRisk","AgentBoardSourceFiles","HumanNavigationRisk","HumanNavigationSourceFiles","DocsSourceFiles","ScriptsRefs","TestsRefs","OverwriteRisk","Blockers","CandidateAction","PostMoveValidationCommand"
"576","docs/v14_002_review_console_productization_planning_gate.md","docs/archive/phases/v14/v14_002_review_console_productization_planning_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","10",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_002_review_console_productization_planning_gate.md -> docs/archive/phases/v14/v14_002_review_console_productization_planning_gate.md","15","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"577","docs/v14_003_review_console_information_architecture_gate.md","docs/archive/phases/v14/v14_003_review_console_information_architecture_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","10",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_003_review_console_information_architecture_gate.md -> docs/archive/phases/v14/v14_003_review_console_information_architecture_gate.md","15","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"578","docs/v14_004_review_console_wireframe_and_data_contract_gate.md","docs/archive/phases/v14/v14_004_review_console_wireframe_and_data_contract_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","10",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_004_review_console_wireframe_and_data_contract_gate.md -> docs/archive/phases/v14/v14_004_review_console_wireframe_and_data_contract_gate.md","15","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"579","docs/v14_005_review_console_static_review_and_route_closeout_gate.md","docs/archive/phases/v14/v14_005_review_console_static_review_and_route_closeout_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","10",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_005_review_console_static_review_and_route_closeout_gate.md -> docs/archive/phases/v14/v14_005_review_console_static_review_and_route_closeout_gate.md","15","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"580","docs/v14_006_review_console_UI_implementation_authorization_planning_gate.md","docs/archive/phases/v14/v14_006_review_console_UI_implementation_authorization_planning_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","11",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; docs/review_console_UI_implementation_authorization_plan_v14.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_006_review_console_UI_implementation_authorization_planning_gate.md -> docs/archive/phases/v14/v14_006_review_console_UI_implementation_authorization_planning_gate.md","16","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md; docs/review_console_UI_implementation_authorization_plan_v14.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"581","docs/v14_007_review_console_docs_rendered_prototype_gate.md","docs/archive/phases/v14/v14_007_review_console_docs_rendered_prototype_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","11",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; docs/review_console_rendered_console_v14.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_007_review_console_docs_rendered_prototype_gate.md -> docs/archive/phases/v14/v14_007_review_console_docs_rendered_prototype_gate.md","16","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md; docs/review_console_rendered_console_v14.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"582","docs/v14_008_review_console_docs_rendered_prototype_static_review_and_closeout_gate.md","docs/archive/phases/v14/v14_008_review_console_docs_rendered_prototype_static_review_and_closeout_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","10",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_008_review_console_docs_rendered_prototype_static_review_and_closeout_gate.md -> docs/archive/phases/v14/v14_008_review_console_docs_rendered_prototype_static_review_and_closeout_gate.md","15","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"583","docs/v14_009_review_console_static_HTML_prototype_authorization_planning_gate.md","docs/archive/phases/v14/v14_009_review_console_static_HTML_prototype_authorization_planning_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","10",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_009_review_console_static_HTML_prototype_authorization_planning_gate.md -> docs/archive/phases/v14/v14_009_review_console_static_HTML_prototype_authorization_planning_gate.md","15","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"584","docs/v14_010_review_console_static_HTML_prototype_creation_authorization_gate.md","docs/archive/phases/v14/v14_010_review_console_static_HTML_prototype_creation_authorization_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","10",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_010_review_console_static_HTML_prototype_creation_authorization_gate.md -> docs/archive/phases/v14/v14_010_review_console_static_HTML_prototype_creation_authorization_gate.md","15","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
"585","docs/v14_016_review_console_static_prototype_next_route_decision_gate.md","docs/archive/phases/v14/v14_016_review_console_static_prototype_next_route_decision_gate.md","docs\archive\phases\v14","False","True","False","human_navigation","10",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md; docs/00_project_roadmap.md; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md; PROJECT_MASTER_PLAN.md; README.md","docs/v14_016_review_console_static_prototype_next_route_decision_gate.md -> docs/archive/phases/v14/v14_016_review_console_static_prototype_next_route_decision_gate.md","15","True",".agent_board/CHECKPOINT.md; .agent_board/HANDOFF.md; .agent_board/RUN_STATE.md; .agent_board/TASK_QUEUE.md; .agent_board/VALIDATION_LOG.md","True","PROJECT_MASTER_PLAN.md; README.md","docs/00_project_roadmap.md","","","False","human_navigation_review_required","paired_move_plus_exact_rewrite_dry_run_only","git diff --check; node scripts/validate_agent_board_state.js; powershell -ExecutionPolicy Bypass -File scripts/validate_mvp.ps1; powershell -ExecutionPolicy Bypass -File scripts/validate-agent-image-lab-local.ps1"
