"BatchId","RiskBucket","Records","Moves","RewriteHits","HumanNavigation","Numbers","CurrentPaths","Recommendation"
"agent-board-only-01","agent_board_only","20","20","20","False","511;512;513;514;515;516;517;518;519;526;529;531;558;559;560;561;562;563;564;565","docs/244_v6_8_plugin_dashboard_plan.md; docs/v10_001_closeout_and_project_route_reset_gate.md; docs/v10_002_next_project_route_selection_gate.md; docs/v10_003_third_product_prompt_workflow_expansion_route_gate.md; docs/v10_004_third_product_brief_gate.md; docs/v10_005_third_product_prompt_package_draft_gate.md; docs/v10_006_third_product_prompt_package_static_review_gate.md; docs/v10_007_third_product_A5_authorization_decision_gate.md; docs/v10_008_remote_sync_and_status_surface_correction_gate.md; docs/v10_017_third_product_route_closeout_gate.md; docs/v10_project_route_reset_after_v9_delivery_readiness.md; docs/v11_001_route_selection_gate.md; docs/v13_001_visual_production_loop_route_selection_gate.md; docs/v13_002_visual_production_loop_canonical_model_gate.md; docs/v13_003_visual_production_loop_canonical_model_static_review_gate.md; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md; docs/v13_005_existing_asset_loop_reconstruction_docs_only_gate.md; docs/v13_006_visual_production_loop_foundation_closeout_or_next_route_decision_gate.md; docs/v13_007_next_product_visual_production_trial_planning_gate.md; docs/v13_008_premium_portable_led_camping_lantern_prompt_package_draft_gate.md","eligible_for_future_small_exact_execution_package_after_approval"
"agent-board-only-02","agent_board_only","20","20","31","False","566;567;568;569;570;571;572;573;574;575;591;598;600;601;602;603;607;608;609;628","docs/v13_009_premium_portable_led_camping_lantern_prompt_package_static_review_gate.md; docs/v13_010_premium_portable_led_camping_lantern_A5_authorization_decision_gate.md; docs/v13_011_camping_lantern_minimal_generation_authorization_draft_gate.md; docs/v13_012_camping_lantern_A5_pre_execution_package_gate.md; docs/v13_012_camping_lantern_minimal_generation_execution_confirmation_gate.md; docs/v13_014_camping_lantern_post_generation_review_and_route_decision_gate.md; docs/v13_015_camping_lantern_delivery_readiness_planning_gate.md; docs/v13_016_camping_lantern_delivery_readiness_review_and_lane_closeout_gate.md; docs/v13_visual_production_loop_foundation_closeout.md; docs/v14_001_route_selection_gate.md; docs/v14_021a_post_push_state_sync_and_validator_alignment_patch.md; docs/v14_084_pvos_lantern_v2_hero_second_review_record.md; docs/v7_123_closeout_integrity_correction_implementation_gate.md; docs/v7_125_selected_docs_rescan_authorization_gate.md; docs/v7_126_selected_docs_rescan_execution_closeout.md; docs/v7_127_controlled_long_task_chain_authorization_gate.md; docs/v7_153_batch_003_exact_finding_recovery.md; docs/v7_156_batch_003_rescan_authorization_gate.md; docs/v7_157_batch_003_rescan_execution_closeout.yaml; docs/v7_224_mainline_status_freshness_alignment_gate.md","eligible_for_future_small_exact_execution_package_after_approval"
"agent-board-only-03","agent_board_only","20","20","29","False","629;630;637;638;639;640;642;643;654;656;657;658;659;660;661;662;663;664;665;666","docs/v7_224a_autopilot_rule_intake_hardening_gate.md; docs/v7_226_image_workflow_product_return_gate.md; docs/v7_233_delivery_review_surface_package_gate.md; docs/v7_234_product_image_workflow_runbook_gate.md; docs/v7_235_product_image_workflow_static_walkthrough_gate.md; docs/v7_236_product_image_workflow_A5_readiness_review_gate.md; docs/v7_238_product_image_generation_authorization_draft_review_gate.md; docs/v7_239_product_image_generation_plan_draft_gate.md; docs/v7_51h_read_only_bridge_adapter_validation_closeout.md; docs/v8_007_A4_8_mutation_live_run_docs_only.md; docs/v8_008_A4_8_controlled_failure_recovery_drill.md; docs/v8_010_A4_8_comprehensive_validation_closeout.md; docs/v8_011_route_B_multi_product_expansion_selection_gate.md; docs/v8_012_second_product_candidate_and_brief_gate.md; docs/v8_013_second_product_prompt_package_draft_gate.md; docs/v8_014_second_product_prompt_static_review_gate.md; docs/v8_015_second_product_A5_authorization_decision_gate.md; docs/v8_017_second_product_failed_trial_review_or_prompt_fix_decision_gate.md; docs/v8_018_second_product_prompt_or_runner_static_fix_gate.md; docs/v8_019_second_product_second_trial_authorization_decision_gate.md","eligible_for_future_small_exact_execution_package_after_approval"
"agent-board-only-04","agent_board_only","20","20","20","False","667;668;669;671;672;673;674;675;676;678;680;681;682;685;686;689;690;691;692;693","docs/v8_020_second_product_second_trial_authorization_gate.md; docs/v8_022_human_review_of_second_product_second_real_output.md; docs/v8_023_second_product_prompt_revision_plan_from_first_real_output.md; docs/v8_025_second_product_next_minimal_generation_authorization_decision_gate.md; docs/v8_026_second_product_prompt_v2_generation_authorization_gate.md; docs/v8_028_second_product_prompt_v2_failed_trial_review_or_output_persistence_gate.md; docs/v8_029_runner_output_persistence_static_review_and_fix_gate.md; docs/v8_030_runner_output_persistence_guard_static_code_fix_gate.md; docs/v8_031_second_product_retry_after_persistence_fix_decision_gate.md; docs/v8_034_human_review_of_second_product_post_persistence_fix_output.md; docs/v8_036_route_B_multi_product_expansion_closeout.md; docs/v8_037_v8_product_loop_closeout_or_next_route_selection_gate.md; docs/v8_038_v8_product_loop_final_closeout.md; docs/v8_product_loop_final_closeout.md; docs/v9_001_delivery_readiness_scope_and_asset_selection_gate.md; docs/v9_004_delivery_readiness_review_or_closeout_decision_gate.md; docs/v9_005_commercial_delivery_review_planning_gate.md; docs/v9_006_commercial_delivery_review_execution_decision_gate.md; docs/v9_007_commercial_delivery_review_docs_only_execution_gate.md; docs/v9_008_commercial_delivery_review_result_decision_gate.md","eligible_for_future_small_exact_execution_package_after_approval"
"agent-board-only-05","agent_board_only","13","13","13","False","694;695;696;698;699;700;701;702;704;706;707;708;709","docs/v9_009_final_retouch_action_package_gate.md; docs/v9_010_final_retouch_execution_or_closeout_decision_gate.md; docs/v9_011_real_retouch_execution_planning_gate.md; docs/v9_013_ceramic_mug_first_asset_delivery_lane_closeout_gate.md; docs/v9_014_sports_visor_delivery_readiness_scope_and_asset_selection_gate.md; docs/v9_015_sports_visor_delivery_readiness_package_gate.md; docs/v9_016_sports_visor_delivery_readiness_acceptance_criteria_gate.md; docs/v9_017_sports_visor_commercial_delivery_review_planning_gate.md; docs/v9_019_sports_visor_commercial_delivery_review_docs_only_execution_gate.md; docs/v9_021_sports_visor_final_retouch_action_package_gate.md; docs/v9_022_v9_delivery_readiness_layer_closeout_or_next_route_decision_gate.md; docs/v9_delivery_readiness_layer_closeout.md; docs/v9_delivery_readiness_layer_route_recommendation.md","eligible_for_future_small_exact_execution_package_after_approval"
"agent-board-plus-docs-01","agent_board_plus_docs","12","12","47","False","520;521;522;523;524;525;527;528;530;532;533;534","docs/v10_009_third_product_minimal_generation_authorization_draft_gate.md; docs/v10_010_third_product_minimal_generation_execution_confirmation_gate.md; docs/v10_012_human_review_of_third_product_first_real_output.md; docs/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md; docs/v10_015_third_product_route_closeout_or_revision_decision_gate.md; docs/v10_018_v10_final_closeout.md; docs/v10_product_loop_final_closeout.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md; docs/v11_002_prompt_schema_hardening_route_activation_gate.md; docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md; docs/v11_004_prompt_package_schema_draft_gate.md","dry_run_first_then_possible_small_exact_execution_package"
"agent-board-plus-docs-02","agent_board_plus_docs","12","12","49","False","535;536;537;538;539;540;541;542;543;544;545;546","docs/v11_005_prompt_package_schema_static_review_gate.md; docs/v11_006_product_brief_schema_draft_gate.md; docs/v11_007_product_brief_schema_static_review_gate.md; docs/v11_008_static_review_schema_draft_gate.md; docs/v11_009_static_review_schema_static_review_gate.md; docs/v11_010_A5_authorization_schema_draft_gate.md; docs/v11_011_A5_authorization_schema_static_review_gate.md; docs/v11_012_human_review_schema_draft_gate.md; docs/v11_013_human_review_schema_static_review_gate.md; docs/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md; docs/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md; docs/v11_016_prompt_schema_hardening_validation_strategy_gate.md","dry_run_first_then_possible_small_exact_execution_package"
"agent-board-plus-docs-03","agent_board_plus_docs","19","19","47","False","547;548;549;550;551;552;553;554;555;556;557;599;604;605;606;610;611;612;613","docs/v11_017_prompt_schema_hardening_route_closeout_gate.md; docs/v11_018_post_remote_sync_state_reconciliation_gate.md; docs/v12_001_route_selection_gate.md; docs/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md; docs/v12_003_prompt_schema_validator_rule_specification_gate.md; docs/v12_004_prompt_schema_validator_fixture_planning_closeout_or_implementation_decision_gate.md; docs/v12_005_prompt_schema_validator_implementation_authorization_gate.md; docs/v12_006_prompt_schema_minimal_validator_implementation_gate.md; docs/v12_007_prompt_schema_validator_static_review_and_syntax_gate.md; docs/v12_008_prompt_schema_validator_fixture_execution_gate.md; docs/v12_009_v12_prompt_schema_machine_validator_final_closeout.md; docs/v7_119_corrected_fixture_dry_run_execution_closeout.yaml; docs/v7_145_batch_002_correction_implementation_gate.md; docs/v7_147_batch_002_rescan_authorization_gate.md; docs/v7_148_batch_002_rescan_execution_closeout.yaml; docs/v7_169_agent_board_and_validator_patch_gate_closeout.md; docs/v7_169_agent_board_and_validator_patch_gate_closeout.yaml; docs/v7_169_agent_board_and_validator_patch_gate.md; docs/v7_169_agent_board_and_validator_patch_gate.yaml","dry_run_first_then_possible_small_exact_execution_package"
"agent-board-plus-docs-04","agent_board_plus_docs","20","20","44","False","631;632;633;634;635;636;641;644;645;646;647;648;649;650;651;652;653;655;670;677","docs/v7_227_prompt_package_builder_taskbook_gate.md; docs/v7_228_product_image_prompt_package_template_instance_gate.md; docs/v7_229_prompt_package_human_review_checklist_gate.md; docs/v7_230_prompt_package_a5_authorization_handoff_gate.md; docs/v7_231_review_console_asset_status_taxonomy_gate.md; docs/v7_232_memory_suitability_decision_matrix_gate.md; docs/v7_237_product_image_generation_authorization_draft_gate.md; docs/v7_240_product_image_generation_plan_authorization_match_review_gate.md; docs/v7_241_product_image_authorization_draft_plan_ref_alignment_gate.md; docs/v7_242_product_image_authorization_activation_gap_review_gate.md; docs/v7_243_product_image_active_authorization_package_skeleton_gate.md; docs/v7_51e_read_only_bridge_adapter_schema_validation_report.md; docs/v7_51e_read_only_bridge_adapter_schema_validation_result.yaml; docs/v7_51f_read_only_bridge_adapter_security_gate_validation_report.md; docs/v7_51f_read_only_bridge_adapter_security_gate_validation_result.yaml; docs/v7_51g_read_only_bridge_adapter_fixture_regression_report.md; docs/v7_51g_read_only_bridge_adapter_fixture_regression_result.yaml; docs/v8_003a_A4_8_safe_project_operator_rail_package.md; docs/v8_024_second_product_prompt_v2_static_review_gate.md; docs/v8_032_second_product_post_persistence_fix_generation_authorization_gate.md","dry_run_first_then_possible_small_exact_execution_package"
"agent-board-plus-docs-05","agent_board_plus_docs","5","5","15","False","679;697;703;705;710","docs/v8_035_route_B_second_product_accepted_candidate_evidence_package.md; docs/v9_012_real_retouch_execution_authorization_decision_gate.md; docs/v9_018_sports_visor_commercial_delivery_review_execution_decision_gate.md; docs/v9_020_sports_visor_commercial_delivery_review_result_decision_gate.md; docs/v9_delivery_readiness_layer_route_selection_gate.md","dry_run_first_then_possible_small_exact_execution_package"
