"Number","CurrentPath","ArchiveTarget","TargetParentDirectory","TargetParentExists","CurrentPathExists","ArchiveTargetExists","SourceRefFiles","SourceRefFileCount","RewriteHitCount","HumanNavigationRisk","ScriptsRefs","TestsRefs","PreflightBlockers"
"511","docs/244_v6_8_plugin_dashboard_plan.md","docs/archive/numbered_legacy/244_v6_8_plugin_dashboard_plan.md","docs\archive\numbered_legacy","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"512","docs/v10_001_closeout_and_project_route_reset_gate.md","docs/archive/phases/v10/v10_001_closeout_and_project_route_reset_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"513","docs/v10_002_next_project_route_selection_gate.md","docs/archive/phases/v10/v10_002_next_project_route_selection_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"514","docs/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs/archive/phases/v10/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"515","docs/v10_004_third_product_brief_gate.md","docs/archive/phases/v10/v10_004_third_product_brief_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"516","docs/v10_005_third_product_prompt_package_draft_gate.md","docs/archive/phases/v10/v10_005_third_product_prompt_package_draft_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"517","docs/v10_006_third_product_prompt_package_static_review_gate.md","docs/archive/phases/v10/v10_006_third_product_prompt_package_static_review_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"518","docs/v10_007_third_product_A5_authorization_decision_gate.md","docs/archive/phases/v10/v10_007_third_product_A5_authorization_decision_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"519","docs/v10_008_remote_sync_and_status_surface_correction_gate.md","docs/archive/phases/v10/v10_008_remote_sync_and_status_surface_correction_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"526","docs/v10_017_third_product_route_closeout_gate.md","docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"529","docs/v10_project_route_reset_after_v9_delivery_readiness.md","docs/archive/phases/v10/v10_project_route_reset_after_v9_delivery_readiness.md","docs\archive\phases\v10","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"531","docs/v11_001_route_selection_gate.md","docs/archive/phases/v11/v11_001_route_selection_gate.md","docs\archive\phases\v11","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"558","docs/v13_001_visual_production_loop_route_selection_gate.md","docs/archive/phases/v13/v13_001_visual_production_loop_route_selection_gate.md","docs\archive\phases\v13","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"559","docs/v13_002_visual_production_loop_canonical_model_gate.md","docs/archive/phases/v13/v13_002_visual_production_loop_canonical_model_gate.md","docs\archive\phases\v13","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"560","docs/v13_003_visual_production_loop_canonical_model_static_review_gate.md","docs/archive/phases/v13/v13_003_visual_production_loop_canonical_model_static_review_gate.md","docs\archive\phases\v13","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"561","docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md","docs/archive/phases/v13/v13_004_existing_asset_loop_reconstruction_selection_gate.md","docs\archive\phases\v13","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"562","docs/v13_005_existing_asset_loop_reconstruction_docs_only_gate.md","docs/archive/phases/v13/v13_005_existing_asset_loop_reconstruction_docs_only_gate.md","docs\archive\phases\v13","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"563","docs/v13_006_visual_production_loop_foundation_closeout_or_next_route_decision_gate.md","docs/archive/phases/v13/v13_006_visual_production_loop_foundation_closeout_or_next_route_decision_gate.md","docs\archive\phases\v13","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"564","docs/v13_007_next_product_visual_production_trial_planning_gate.md","docs/archive/phases/v13/v13_007_next_product_visual_production_trial_planning_gate.md","docs\archive\phases\v13","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"565","docs/v13_008_premium_portable_led_camping_lantern_prompt_package_draft_gate.md","docs/archive/phases/v13/v13_008_premium_portable_led_camping_lantern_prompt_package_draft_gate.md","docs\archive\phases\v13","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
