"Number","CurrentPath","ArchiveTarget","SourceExistsAfter","TargetExistsAfter","OldPathHitRecords","OldPathHits","NonArchiveOldPathHitRecords","HitFiles"
"511","docs/244_v6_8_plugin_dashboard_plan.md","docs/archive/numbered_legacy/244_v6_8_plugin_dashboard_plan.md","False","True","9","10","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]; docs/archive/phases/v6/v6_8_plugin_dashboard_legacy_index.md[1]"
"512","docs/v10_001_closeout_and_project_route_reset_gate.md","docs/archive/phases/v10/v10_001_closeout_and_project_route_reset_gate.md","False","True","9","10","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]; docs/archive/DOCS_ARCHIVE_MIGRATION_MANIFEST.md[1]"
"513","docs/v10_002_next_project_route_selection_gate.md","docs/archive/phases/v10/v10_002_next_project_route_selection_gate.md","False","True","8","9","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]"
"514","docs/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs/archive/phases/v10/v10_003_third_product_prompt_workflow_expansion_route_gate.md","False","True","8","9","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]"
"515","docs/v10_004_third_product_brief_gate.md","docs/archive/phases/v10/v10_004_third_product_brief_gate.md","False","True","8","9","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]"
"516","docs/v10_005_third_product_prompt_package_draft_gate.md","docs/archive/phases/v10/v10_005_third_product_prompt_package_draft_gate.md","False","True","8","9","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]"
"517","docs/v10_006_third_product_prompt_package_static_review_gate.md","docs/archive/phases/v10/v10_006_third_product_prompt_package_static_review_gate.md","False","True","8","9","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]"
"518","docs/v10_007_third_product_A5_authorization_decision_gate.md","docs/archive/phases/v10/v10_007_third_product_A5_authorization_decision_gate.md","False","True","8","9","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]"
"519","docs/v10_008_remote_sync_and_status_surface_correction_gate.md","docs/archive/phases/v10/v10_008_remote_sync_and_status_surface_correction_gate.md","False","True","8","9","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[2]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[1]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]"
"526","docs/v10_017_third_product_route_closeout_gate.md","docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md","False","True","10","20","0","docs/archive/DOCS_ARCHIVE_C1AD_PAIRED_EXACT_MOVE_REWRITE_PACKAGE.csv[6]; docs/archive/DOCS_ARCHIVE_C1AF_PACKAGE_SPLIT_DECISION.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.csv[1]; docs/archive/DOCS_ARCHIVE_C1AJ_AGENT_BOARD_ONLY_01_EXECUTION_PACKAGE.md[1]; docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[2]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[2]; docs/archive/DOCS_ARCHIVE_C1U_WRAPPER_REQUIRED_LINK_GRAPH.csv[3]; docs/archive/DOCS_ARCHIVE_C1V_AGENT_BOARD_STALE_REFERENCE_CLEANUP_RULES.csv[1]; docs/archive/DOCS_ARCHIVE_C1W_DOCS_ONLY_REWRITE_PACKAGE_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1W_DOCS_ONLY_REWRITE_RULES.csv[2]"
