"Number","CurrentPath","ArchiveTarget","TargetParentDirectory","TargetParentExists","CurrentPathExists","ArchiveTargetExists","SourceRefFiles","SourceRefFileCount","RewriteHitCount","HumanNavigationRisk","ScriptsRefs","TestsRefs","PreflightBlockers"
"667","docs/v8_020_second_product_second_trial_authorization_gate.md","docs/archive/phases/v8/v8_020_second_product_second_trial_authorization_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"668","docs/v8_022_human_review_of_second_product_second_real_output.md","docs/archive/phases/v8/v8_022_human_review_of_second_product_second_real_output.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"669","docs/v8_023_second_product_prompt_revision_plan_from_first_real_output.md","docs/archive/phases/v8/v8_023_second_product_prompt_revision_plan_from_first_real_output.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"671","docs/v8_025_second_product_next_minimal_generation_authorization_decision_gate.md","docs/archive/phases/v8/v8_025_second_product_next_minimal_generation_authorization_decision_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"672","docs/v8_026_second_product_prompt_v2_generation_authorization_gate.md","docs/archive/phases/v8/v8_026_second_product_prompt_v2_generation_authorization_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"673","docs/v8_028_second_product_prompt_v2_failed_trial_review_or_output_persistence_gate.md","docs/archive/phases/v8/v8_028_second_product_prompt_v2_failed_trial_review_or_output_persistence_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"674","docs/v8_029_runner_output_persistence_static_review_and_fix_gate.md","docs/archive/phases/v8/v8_029_runner_output_persistence_static_review_and_fix_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"675","docs/v8_030_runner_output_persistence_guard_static_code_fix_gate.md","docs/archive/phases/v8/v8_030_runner_output_persistence_guard_static_code_fix_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"676","docs/v8_031_second_product_retry_after_persistence_fix_decision_gate.md","docs/archive/phases/v8/v8_031_second_product_retry_after_persistence_fix_decision_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"678","docs/v8_034_human_review_of_second_product_post_persistence_fix_output.md","docs/archive/phases/v8/v8_034_human_review_of_second_product_post_persistence_fix_output.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"680","docs/v8_036_route_B_multi_product_expansion_closeout.md","docs/archive/phases/v8/v8_036_route_B_multi_product_expansion_closeout.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"681","docs/v8_037_v8_product_loop_closeout_or_next_route_selection_gate.md","docs/archive/phases/v8/v8_037_v8_product_loop_closeout_or_next_route_selection_gate.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"682","docs/v8_038_v8_product_loop_final_closeout.md","docs/archive/phases/v8/v8_038_v8_product_loop_final_closeout.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"685","docs/v8_product_loop_final_closeout.md","docs/archive/phases/v8/v8_product_loop_final_closeout.md","docs\archive\phases\v8","True","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"686","docs/v9_001_delivery_readiness_scope_and_asset_selection_gate.md","docs/archive/phases/v9/v9_001_delivery_readiness_scope_and_asset_selection_gate.md","docs\archive\phases\v9","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"689","docs/v9_004_delivery_readiness_review_or_closeout_decision_gate.md","docs/archive/phases/v9/v9_004_delivery_readiness_review_or_closeout_decision_gate.md","docs\archive\phases\v9","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"690","docs/v9_005_commercial_delivery_review_planning_gate.md","docs/archive/phases/v9/v9_005_commercial_delivery_review_planning_gate.md","docs\archive\phases\v9","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"691","docs/v9_006_commercial_delivery_review_execution_decision_gate.md","docs/archive/phases/v9/v9_006_commercial_delivery_review_execution_decision_gate.md","docs\archive\phases\v9","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"692","docs/v9_007_commercial_delivery_review_docs_only_execution_gate.md","docs/archive/phases/v9/v9_007_commercial_delivery_review_docs_only_execution_gate.md","docs\archive\phases\v9","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
"693","docs/v9_008_commercial_delivery_review_result_decision_gate.md","docs/archive/phases/v9/v9_008_commercial_delivery_review_result_decision_gate.md","docs\archive\phases\v9","False","True","False",".agent_board/CHECKPOINT.md","1","1","False","","",""
