"Number","CurrentPath","ArchiveTarget","TargetParentDirectory","TargetParentExists","CurrentPathExists","ArchiveTargetExists","ActiveSourceRefFiles","ActiveSourceRefFileCount","ActiveRewriteHitCount","HumanNavigationActiveRefs","ScriptsActiveRefs","TestsActiveRefs","PreflightBlockers"
"520","docs/v10_009_third_product_minimal_generation_authorization_draft_gate.md","docs/archive/phases/v10/v10_009_third_product_minimal_generation_authorization_draft_gate.md","docs\archive\phases\v10","True","True","False","docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","2","3","","","",""
"521","docs/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","docs/archive/phases/v10/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","docs\archive\phases\v10","True","True","False","docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","2","3","","","",""
"522","docs/v10_012_human_review_of_third_product_first_real_output.md","docs/archive/phases/v10/v10_012_human_review_of_third_product_first_real_output.md","docs\archive\phases\v10","True","True","False","docs/prompt_artifact_schema_inventory.md; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md; docs/v10_product_loop_final_closeout.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","5","7","","","",""
"523","docs/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","docs/archive/phases/v10/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","docs\archive\phases\v10","True","True","False","docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md; docs/v10_third_product_route_closeout_premium_serum_bottle.md","2","2","","","",""
"524","docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md","docs/archive/phases/v10/v10_014_third_product_accepted_candidate_evidence_package_gate.md","docs\archive\phases\v10","True","True","False","docs/v10_third_product_route_closeout_premium_serum_bottle.md","1","1","","","",""
"525","docs/v10_015_third_product_route_closeout_or_revision_decision_gate.md","docs/archive/phases/v10/v10_015_third_product_route_closeout_or_revision_decision_gate.md","docs\archive\phases\v10","True","True","False","docs/v10_third_product_route_closeout_premium_serum_bottle.md","1","1","","","",""
"527","docs/v10_018_v10_final_closeout.md","docs/archive/phases/v10/v10_018_v10_final_closeout.md","docs\archive\phases\v10","True","True","False","docs/v10_product_loop_final_closeout.md","1","1","","","",""
"528","docs/v10_product_loop_final_closeout.md","docs/archive/phases/v10/v10_product_loop_final_closeout.md","docs\archive\phases\v10","True","True","False","docs/prompt_artifact_schema_inventory.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","2","2","","","",""
"530","docs/v10_third_product_route_closeout_premium_serum_bottle.md","docs/archive/phases/v10/v10_third_product_route_closeout_premium_serum_bottle.md","docs\archive\phases\v10","True","True","False","docs/prompt_artifact_schema_inventory.md; docs/v10_product_loop_final_closeout.md; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md","3","3","","","",""
"532","docs/v11_002_prompt_schema_hardening_route_activation_gate.md","docs/archive/phases/v11/v11_002_prompt_schema_hardening_route_activation_gate.md","docs\archive\phases\v11","True","True","False","docs/prompt_artifact_schema_inventory.md; docs/prompt_schema_hardening_route_closeout.md","2","2","","","",""
"533","docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md","docs/archive/phases/v11/v11_003_existing_prompt_artifact_schema_inventory_gate.md","docs\archive\phases\v11","True","True","False","docs/prompt_schema_hardening_route_closeout.md; docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md","2","2","","","",""
"534","docs/v11_004_prompt_package_schema_draft_gate.md","docs/archive/phases/v11/v11_004_prompt_package_schema_draft_gate.md","docs\archive\phases\v11","True","True","False","docs/prompt_schema_hardening_route_closeout.md; docs/v11_004_prompt_package_schema_draft_gate.md","2","2","","","",""
