"Number","CurrentPath","ArchiveTarget","SourceExistsAfter","TargetExistsAfter","RewriteSourceFiles","RewriteHitCountPlanned"
"535","docs/v11_005_prompt_package_schema_static_review_gate.md","docs/archive/phases/v11/v11_005_prompt_package_schema_static_review_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_005_prompt_package_schema_static_review_gate.md","3"
"536","docs/v11_006_product_brief_schema_draft_gate.md","docs/archive/phases/v11/v11_006_product_brief_schema_draft_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_006_product_brief_schema_draft_gate.md","2"
"537","docs/v11_007_product_brief_schema_static_review_gate.md","docs/archive/phases/v11/v11_007_product_brief_schema_static_review_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_007_product_brief_schema_static_review_gate.md","3"
"538","docs/v11_008_static_review_schema_draft_gate.md","docs/archive/phases/v11/v11_008_static_review_schema_draft_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_008_static_review_schema_draft_gate.md","2"
"539","docs/v11_009_static_review_schema_static_review_gate.md","docs/archive/phases/v11/v11_009_static_review_schema_static_review_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_009_static_review_schema_static_review_gate.md","3"
"540","docs/v11_010_A5_authorization_schema_draft_gate.md","docs/archive/phases/v11/v11_010_A5_authorization_schema_draft_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_010_A5_authorization_schema_draft_gate.md","2"
"541","docs/v11_011_A5_authorization_schema_static_review_gate.md","docs/archive/phases/v11/v11_011_A5_authorization_schema_static_review_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_011_A5_authorization_schema_static_review_gate.md","3"
"542","docs/v11_012_human_review_schema_draft_gate.md","docs/archive/phases/v11/v11_012_human_review_schema_draft_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_012_human_review_schema_draft_gate.md","2"
"543","docs/v11_013_human_review_schema_static_review_gate.md","docs/archive/phases/v11/v11_013_human_review_schema_static_review_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_013_human_review_schema_static_review_gate.md","3"
"544","docs/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md","docs/archive/phases/v11/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md","3"
"545","docs/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md","docs/archive/phases/v11/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md","3"
"546","docs/v11_016_prompt_schema_hardening_validation_strategy_gate.md","docs/archive/phases/v11/v11_016_prompt_schema_hardening_validation_strategy_gate.md","False","True","docs/prompt_schema_hardening_route_closeout.md; docs/v11_016_prompt_schema_hardening_validation_strategy_gate.md","2"
