"Number","CurrentPath","ArchiveTarget","SourceExistsAfter","TargetExistsAfter","RewriteSourceFiles","RewriteHitCountPlanned","ZeroReferenceConfirmed"
"547","docs/v11_017_prompt_schema_hardening_route_closeout_gate.md","docs/archive/phases/v11/v11_017_prompt_schema_hardening_route_closeout_gate.md","False","True","docs/v11_017_prompt_schema_hardening_route_closeout_gate.md","1","False"
"548","docs/v11_018_post_remote_sync_state_reconciliation_gate.md","docs/archive/phases/v11/v11_018_post_remote_sync_state_reconciliation_gate.md","False","True","docs/v11_018_post_remote_sync_state_reconciliation_gate.md","1","False"
"549","docs/v12_001_route_selection_gate.md","docs/archive/phases/v12/v12_001_route_selection_gate.md","False","True","docs/v12_001_route_selection_gate.md","1","False"
"550","docs/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md","docs/archive/phases/v12/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md","False","True","docs/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md","1","False"
"551","docs/v12_003_prompt_schema_validator_rule_specification_gate.md","docs/archive/phases/v12/v12_003_prompt_schema_validator_rule_specification_gate.md","False","True","docs/v12_003_prompt_schema_validator_rule_specification_gate.md","1","False"
"552","docs/v12_004_prompt_schema_validator_fixture_planning_closeout_or_implementation_decision_gate.md","docs/archive/phases/v12/v12_004_prompt_schema_validator_fixture_planning_closeout_or_implementation_decision_gate.md","False","True","docs/v12_004_prompt_schema_validator_fixture_planning_closeout_or_implementation_decision_gate.md","1","False"
"553","docs/v12_005_prompt_schema_validator_implementation_authorization_gate.md","docs/archive/phases/v12/v12_005_prompt_schema_validator_implementation_authorization_gate.md","False","True","docs/v12_009_v12_prompt_schema_machine_validator_final_closeout.md","1","False"
"554","docs/v12_006_prompt_schema_minimal_validator_implementation_gate.md","docs/archive/phases/v12/v12_006_prompt_schema_minimal_validator_implementation_gate.md","False","True","docs/v12_005_prompt_schema_validator_implementation_authorization_gate.md; docs/v12_009_v12_prompt_schema_machine_validator_final_closeout.md","2","False"
"555","docs/v12_007_prompt_schema_validator_static_review_and_syntax_gate.md","docs/archive/phases/v12/v12_007_prompt_schema_validator_static_review_and_syntax_gate.md","False","True","docs/v12_009_v12_prompt_schema_machine_validator_final_closeout.md","1","False"
"556","docs/v12_008_prompt_schema_validator_fixture_execution_gate.md","docs/archive/phases/v12/v12_008_prompt_schema_validator_fixture_execution_gate.md","False","True","docs/v12_009_v12_prompt_schema_machine_validator_final_closeout.md","1","False"
"557","docs/v12_009_v12_prompt_schema_machine_validator_final_closeout.md","docs/archive/phases/v12/v12_009_v12_prompt_schema_machine_validator_final_closeout.md","False","True","docs/v12_009_v12_prompt_schema_machine_validator_final_closeout.md","1","False"
"599","docs/v7_119_corrected_fixture_dry_run_execution_closeout.yaml","docs/archive/phases/v7/v7_119_corrected_fixture_dry_run_execution_closeout.yaml","False","True","","0","True"
"604","docs/v7_145_batch_002_correction_implementation_gate.md","docs/archive/phases/v7/v7_145_batch_002_correction_implementation_gate.md","False","True","","0","True"
"605","docs/v7_147_batch_002_rescan_authorization_gate.md","docs/archive/phases/v7/v7_147_batch_002_rescan_authorization_gate.md","False","True","","0","True"
"606","docs/v7_148_batch_002_rescan_execution_closeout.yaml","docs/archive/phases/v7/v7_148_batch_002_rescan_execution_closeout.yaml","False","True","","0","True"
"610","docs/v7_169_agent_board_and_validator_patch_gate_closeout.md","docs/archive/phases/v7/v7_169_agent_board_and_validator_patch_gate_closeout.md","False","True","docs/v7_169_agent_board_and_validator_patch_gate_closeout.md","1","False"
"611","docs/v7_169_agent_board_and_validator_patch_gate_closeout.yaml","docs/archive/phases/v7/v7_169_agent_board_and_validator_patch_gate_closeout.yaml","False","True","docs/v7_169_agent_board_and_validator_patch_gate_closeout.md","1","False"
"612","docs/v7_169_agent_board_and_validator_patch_gate.md","docs/archive/phases/v7/v7_169_agent_board_and_validator_patch_gate.md","False","True","docs/v7_169_agent_board_and_validator_patch_gate_closeout.md","1","False"
"613","docs/v7_169_agent_board_and_validator_patch_gate.yaml","docs/archive/phases/v7/v7_169_agent_board_and_validator_patch_gate.yaml","False","True","docs/v7_169_agent_board_and_validator_patch_gate_closeout.md","1","False"
