"Number","Path","ArchiveTarget","ArchiveTargetExists","CurrentPathExists","Bucket","ActiveScopes","ActiveHitCount","AgentBoardHitCount","ReadmeHitCount","ProjectMasterPlanHitCount","ManifestHitCount","ReleaseNotesHitCount","NonArchiveDocsHitCount","ScriptsHitCount","TestsHitCount","OtherHitCount","ArchiveAuditHitCount","SourceFiles","ArchiveAuditFiles"
"511","docs/244_v6_8_plugin_dashboard_plan.md","docs/archive/numbered_legacy/244_v6_8_plugin_dashboard_plan.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","3",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/phases/v6/v6_8_plugin_dashboard_legacy_index.md[1]"
"512","docs/v10_001_closeout_and_project_route_reset_gate.md","docs/archive/phases/v10/v10_001_closeout_and_project_route_reset_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","3",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]; docs/archive/DOCS_ARCHIVE_MIGRATION_MANIFEST.md[1]"
"513","docs/v10_002_next_project_route_selection_gate.md","docs/archive/phases/v10/v10_002_next_project_route_selection_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"514","docs/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs/archive/phases/v10/v10_003_third_product_prompt_workflow_expansion_route_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"515","docs/v10_004_third_product_brief_gate.md","docs/archive/phases/v10/v10_004_third_product_brief_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"516","docs/v10_005_third_product_prompt_package_draft_gate.md","docs/archive/phases/v10/v10_005_third_product_prompt_package_draft_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"517","docs/v10_006_third_product_prompt_package_static_review_gate.md","docs/archive/phases/v10/v10_006_third_product_prompt_package_static_review_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"518","docs/v10_007_third_product_A5_authorization_decision_gate.md","docs/archive/phases/v10/v10_007_third_product_A5_authorization_decision_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"519","docs/v10_008_remote_sync_and_status_surface_correction_gate.md","docs/archive/phases/v10/v10_008_remote_sync_and_status_surface_correction_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"520","docs/v10_009_third_product_minimal_generation_authorization_draft_gate.md","docs/archive/phases/v10/v10_009_third_product_minimal_generation_authorization_draft_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","4","1","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_artifact_schema_inventory.md[1]; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"521","docs/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","docs/archive/phases/v10/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","4","1","0","0","0","0","3","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_artifact_schema_inventory.md[1]; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md[2]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"522","docs/v10_012_human_review_of_third_product_first_real_output.md","docs/archive/phases/v10/v10_012_human_review_of_third_product_first_real_output.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","10","1","0","0","0","0","9","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/prompt_artifact_schema_inventory.md[1]; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md[1]; docs/v10_017_third_product_route_closeout_gate.md[1]; docs/v10_product_loop_final_closeout.md[1]; docs/v10_third_product_route_closeout_premium_serum_bottle.md[1]; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md[1]; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md[3]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"523","docs/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","docs/archive/phases/v10/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md[1]; docs/v10_third_product_route_closeout_premium_serum_bottle.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"524","docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md","docs/archive/phases/v10/v10_014_third_product_accepted_candidate_evidence_package_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","6",".agent_board/CHECKPOINT.md[1]; docs/v10_third_product_route_closeout_premium_serum_bottle.md[1]; docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[3]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[3]"
"525","docs/v10_015_third_product_route_closeout_or_revision_decision_gate.md","docs/archive/phases/v10/v10_015_third_product_route_closeout_or_revision_decision_gate.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v10_third_product_route_closeout_premium_serum_bottle.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"526","docs/v10_017_third_product_route_closeout_gate.md","docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","4",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[2]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[2]"
"527","docs/v10_018_v10_final_closeout.md","docs/archive/phases/v10/v10_018_v10_final_closeout.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","2","1","0","0","0","0","1","0","0","0","2",".agent_board/CHECKPOINT.md[1]; docs/v10_product_loop_final_closeout.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
"528","docs/v10_product_loop_final_closeout.md","docs/archive/phases/v10/v10_product_loop_final_closeout.md","False","True","agent_board_plus_docs","agent_board;non_archive_docs","3","1","0","0","0","0","2","0","0","0","4",".agent_board/CHECKPOINT.md[1]; docs/prompt_artifact_schema_inventory.md[1]; docs/visual_production_loop_reconstruction_premium_serum_bottle_v1.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[2]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[2]"
"529","docs/v10_project_route_reset_after_v9_delivery_readiness.md","docs/archive/phases/v10/v10_project_route_reset_after_v9_delivery_readiness.md","False","True","agent_board_only","agent_board","1","1","0","0","0","0","0","0","0","0","2",".agent_board/CHECKPOINT.md[1]","docs/archive/DOCS_ARCHIVE_C1C_REMAINING_DOCS_CLASSIFICATION_DRY_RUN.md[1]; docs/archive/DOCS_ARCHIVE_C1E_REMAINING_DOCS_RECLASSIFICATION_REFRESH.md[1]"
