"Number","CurrentPath","ArchiveTarget","SourceFile","SourceScope","HitCount","Bucket","ArchiveTargetExists","CurrentPathExists","ExecutionSafeNow","BlockReason"
"511","docs/244_v6_8_plugin_dashboard_plan.md","docs/archive/numbered_legacy/244_v6_8_plugin_dashboard_plan.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"512","docs/v10_001_closeout_and_project_route_reset_gate.md","docs/archive/phases/v10/v10_001_closeout_and_project_route_reset_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"513","docs/v10_002_next_project_route_selection_gate.md","docs/archive/phases/v10/v10_002_next_project_route_selection_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"514","docs/v10_003_third_product_prompt_workflow_expansion_route_gate.md","docs/archive/phases/v10/v10_003_third_product_prompt_workflow_expansion_route_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"515","docs/v10_004_third_product_brief_gate.md","docs/archive/phases/v10/v10_004_third_product_brief_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"516","docs/v10_005_third_product_prompt_package_draft_gate.md","docs/archive/phases/v10/v10_005_third_product_prompt_package_draft_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"517","docs/v10_006_third_product_prompt_package_static_review_gate.md","docs/archive/phases/v10/v10_006_third_product_prompt_package_static_review_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"518","docs/v10_007_third_product_A5_authorization_decision_gate.md","docs/archive/phases/v10/v10_007_third_product_A5_authorization_decision_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"519","docs/v10_008_remote_sync_and_status_surface_correction_gate.md","docs/archive/phases/v10/v10_008_remote_sync_and_status_surface_correction_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"520","docs/v10_009_third_product_minimal_generation_authorization_draft_gate.md","docs/archive/phases/v10/v10_009_third_product_minimal_generation_authorization_draft_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"521","docs/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","docs/archive/phases/v10/v10_010_third_product_minimal_generation_execution_confirmation_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"522","docs/v10_012_human_review_of_third_product_first_real_output.md","docs/archive/phases/v10/v10_012_human_review_of_third_product_first_real_output.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"523","docs/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md","docs/archive/phases/v10/v10_013_third_product_prompt_revision_or_candidate_evidence_decision_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"524","docs/v10_014_third_product_accepted_candidate_evidence_package_gate.md","docs/archive/phases/v10/v10_014_third_product_accepted_candidate_evidence_package_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"525","docs/v10_015_third_product_route_closeout_or_revision_decision_gate.md","docs/archive/phases/v10/v10_015_third_product_route_closeout_or_revision_decision_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"526","docs/v10_017_third_product_route_closeout_gate.md","docs/archive/phases/v10/v10_017_third_product_route_closeout_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"527","docs/v10_018_v10_final_closeout.md","docs/archive/phases/v10/v10_018_v10_final_closeout.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"528","docs/v10_product_loop_final_closeout.md","docs/archive/phases/v10/v10_product_loop_final_closeout.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"529","docs/v10_project_route_reset_after_v9_delivery_readiness.md","docs/archive/phases/v10/v10_project_route_reset_after_v9_delivery_readiness.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"530","docs/v10_third_product_route_closeout_premium_serum_bottle.md","docs/archive/phases/v10/v10_third_product_route_closeout_premium_serum_bottle.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"531","docs/v11_001_route_selection_gate.md","docs/archive/phases/v11/v11_001_route_selection_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"532","docs/v11_002_prompt_schema_hardening_route_activation_gate.md","docs/archive/phases/v11/v11_002_prompt_schema_hardening_route_activation_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"533","docs/v11_003_existing_prompt_artifact_schema_inventory_gate.md","docs/archive/phases/v11/v11_003_existing_prompt_artifact_schema_inventory_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"534","docs/v11_004_prompt_package_schema_draft_gate.md","docs/archive/phases/v11/v11_004_prompt_package_schema_draft_gate.md",".agent_board/CHECKPOINT.md","agent_board","2","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"535","docs/v11_005_prompt_package_schema_static_review_gate.md","docs/archive/phases/v11/v11_005_prompt_package_schema_static_review_gate.md",".agent_board/CHECKPOINT.md","agent_board","2","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"536","docs/v11_006_product_brief_schema_draft_gate.md","docs/archive/phases/v11/v11_006_product_brief_schema_draft_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"537","docs/v11_007_product_brief_schema_static_review_gate.md","docs/archive/phases/v11/v11_007_product_brief_schema_static_review_gate.md",".agent_board/CHECKPOINT.md","agent_board","2","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"538","docs/v11_008_static_review_schema_draft_gate.md","docs/archive/phases/v11/v11_008_static_review_schema_draft_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"539","docs/v11_009_static_review_schema_static_review_gate.md","docs/archive/phases/v11/v11_009_static_review_schema_static_review_gate.md",".agent_board/CHECKPOINT.md","agent_board","2","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"540","docs/v11_010_A5_authorization_schema_draft_gate.md","docs/archive/phases/v11/v11_010_A5_authorization_schema_draft_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"541","docs/v11_011_A5_authorization_schema_static_review_gate.md","docs/archive/phases/v11/v11_011_A5_authorization_schema_static_review_gate.md",".agent_board/CHECKPOINT.md","agent_board","2","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"542","docs/v11_012_human_review_schema_draft_gate.md","docs/archive/phases/v11/v11_012_human_review_schema_draft_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"543","docs/v11_013_human_review_schema_static_review_gate.md","docs/archive/phases/v11/v11_013_human_review_schema_static_review_gate.md",".agent_board/CHECKPOINT.md","agent_board","2","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"544","docs/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md","docs/archive/phases/v11/v11_014_accepted_candidate_evidence_package_schema_draft_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"545","docs/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md","docs/archive/phases/v11/v11_015_accepted_candidate_evidence_package_schema_static_review_gate.md",".agent_board/CHECKPOINT.md","agent_board","2","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"546","docs/v11_016_prompt_schema_hardening_validation_strategy_gate.md","docs/archive/phases/v11/v11_016_prompt_schema_hardening_validation_strategy_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"547","docs/v11_017_prompt_schema_hardening_route_closeout_gate.md","docs/archive/phases/v11/v11_017_prompt_schema_hardening_route_closeout_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"548","docs/v11_018_post_remote_sync_state_reconciliation_gate.md","docs/archive/phases/v11/v11_018_post_remote_sync_state_reconciliation_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"549","docs/v12_001_route_selection_gate.md","docs/archive/phases/v12/v12_001_route_selection_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"550","docs/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md","docs/archive/phases/v12/v12_002_prompt_schema_machine_validator_implementation_planning_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"551","docs/v12_003_prompt_schema_validator_rule_specification_gate.md","docs/archive/phases/v12/v12_003_prompt_schema_validator_rule_specification_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"552","docs/v12_004_prompt_schema_validator_fixture_planning_closeout_or_implementation_decision_gate.md","docs/archive/phases/v12/v12_004_prompt_schema_validator_fixture_planning_closeout_or_implementation_decision_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"553","docs/v12_005_prompt_schema_validator_implementation_authorization_gate.md","docs/archive/phases/v12/v12_005_prompt_schema_validator_implementation_authorization_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"554","docs/v12_006_prompt_schema_minimal_validator_implementation_gate.md","docs/archive/phases/v12/v12_006_prompt_schema_minimal_validator_implementation_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"555","docs/v12_007_prompt_schema_validator_static_review_and_syntax_gate.md","docs/archive/phases/v12/v12_007_prompt_schema_validator_static_review_and_syntax_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"556","docs/v12_008_prompt_schema_validator_fixture_execution_gate.md","docs/archive/phases/v12/v12_008_prompt_schema_validator_fixture_execution_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"557","docs/v12_009_v12_prompt_schema_machine_validator_final_closeout.md","docs/archive/phases/v12/v12_009_v12_prompt_schema_machine_validator_final_closeout.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"558","docs/v13_001_visual_production_loop_route_selection_gate.md","docs/archive/phases/v13/v13_001_visual_production_loop_route_selection_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"559","docs/v13_002_visual_production_loop_canonical_model_gate.md","docs/archive/phases/v13/v13_002_visual_production_loop_canonical_model_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"560","docs/v13_003_visual_production_loop_canonical_model_static_review_gate.md","docs/archive/phases/v13/v13_003_visual_production_loop_canonical_model_static_review_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"561","docs/v13_004_existing_asset_loop_reconstruction_selection_gate.md","docs/archive/phases/v13/v13_004_existing_asset_loop_reconstruction_selection_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"562","docs/v13_005_existing_asset_loop_reconstruction_docs_only_gate.md","docs/archive/phases/v13/v13_005_existing_asset_loop_reconstruction_docs_only_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"563","docs/v13_006_visual_production_loop_foundation_closeout_or_next_route_decision_gate.md","docs/archive/phases/v13/v13_006_visual_production_loop_foundation_closeout_or_next_route_decision_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"564","docs/v13_007_next_product_visual_production_trial_planning_gate.md","docs/archive/phases/v13/v13_007_next_product_visual_production_trial_planning_gate.md",".agent_board/CHECKPOINT.md","agent_board","1","agent_board_only","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
