"Number","CurrentPath","ArchiveTarget","SourceFile","SourceScope","HitCount","Bucket","ArchiveTargetExists","CurrentPathExists","ExecutionSafeNow","BlockReason"
"679","docs/v8_035_route_B_second_product_accepted_candidate_evidence_package.md","docs/archive/phases/v8/v8_035_route_B_second_product_accepted_candidate_evidence_package.md","docs/commercial_delivery_review_plan_multi_color_mesh_sports_visor_v8_033.md","non_archive_docs","2","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"679","docs/v8_035_route_B_second_product_accepted_candidate_evidence_package.md","docs/archive/phases/v8/v8_035_route_B_second_product_accepted_candidate_evidence_package.md","docs/delivery_readiness_package_multi_color_mesh_sports_visor_v8_033.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"705","docs/v9_020_sports_visor_commercial_delivery_review_result_decision_gate.md","docs/archive/phases/v9/v9_020_sports_visor_commercial_delivery_review_result_decision_gate.md","docs/final_retouch_action_package_multi_color_mesh_sports_visor_v8_033.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"631","docs/v7_227_prompt_package_builder_taskbook_gate.md","docs/archive/phases/v7/v7_227_prompt_package_builder_taskbook_gate.md","docs/product_image_workflow_runbook.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"520","docs/v10_009_third_product_minimal_generation_authorization_draft_gate.md","docs/archive/phases/v10/v10_009_third_product_minimal_generation_authorization_draft_gate.md","docs/prompt_artifact_schema_inventory.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"521","docs/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","docs/archive/phases/v10/v10_010_third_product_minimal_generation_execution_confirmation_gate.md","docs/prompt_artifact_schema_inventory.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"522","docs/v10_012_human_review_of_third_product_first_real_output.md","docs/archive/phases/v10/v10_012_human_review_of_third_product_first_real_output.md","docs/prompt_artifact_schema_inventory.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"528","docs/v10_product_loop_final_closeout.md","docs/archive/phases/v10/v10_product_loop_final_closeout.md","docs/prompt_artifact_schema_inventory.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"530","docs/v10_third_product_route_closeout_premium_serum_bottle.md","docs/archive/phases/v10/v10_third_product_route_closeout_premium_serum_bottle.md","docs/prompt_artifact_schema_inventory.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
"532","docs/v11_002_prompt_schema_hardening_route_activation_gate.md","docs/archive/phases/v11/v11_002_prompt_schema_hardening_route_activation_gate.md","docs/prompt_artifact_schema_inventory.md","non_archive_docs","1","agent_board_plus_docs","False","True","False","archive_target_missing_without_paired_exact_move_or_wrapper_plan"
